,T,f_0,theta_0,f_1,theta_1,f_2,theta_2,f_3,theta_3,f_4,theta_4,f_5,theta_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,exec_time
37,7.56383875864878,1349333879.5010483,0.9910864895964528,1314527297.2526429,0.9975303505648643,1335179531.16931,0.9916584069860495,1300588547.220869,0.9852561255007252,1312014536.9323208,0.9909199072231295,1734673506.398182,0.9883942913602414,False,True,True,True,True,False,10,9,10,7,7,18,6.941718101501465
38,3.99721709693707,1599497315.321961,0.9976233679561576,1346168663.1220565,0.9905196187833285,1345334250.5569525,0.9839814402535161,1398722327.278435,0.9956967528728737,1350063789.5962336,0.9915086986480359,1570795234.2578912,0.9951856149095919,True,True,True,True,True,False,9,9,6,9,7,9,6.938442230224609
39,17.10844402336889,1340006733.6808457,0.9894313344357579,1356280471.1710448,0.9870150938596667,1312993009.1363974,0.9869311269231141,1953900549.459311,0.9939015218521318,1319139642.5898278,0.9983976797309502,1374076735.6493056,0.9966095320113658,True,True,True,False,True,True,11,8,11,44,10,11,6.964352130889893
40,10.988753139517755,1465705245.7851665,0.9911210998931393,1386084735.4315214,0.9991250073741573,1410027252.1801672,0.9951526207269117,1604563483.812831,0.9913531838372233,1420749666.478134,0.9911435572240159,2089171217.054593,0.9990181834690709,True,True,True,True,True,False,10,11,9,9,9,54,6.946223974227905
41,3.7720296508612847,1353565026.2864902,0.9907664942136385,1305309167.0452604,0.9912015153308579,1390100688.8835359,0.9969789639080038,1771998138.8160346,0.996750276063944,1452431726.971758,0.9900954859217288,1522076354.060243,0.9953251788942907,True,True,True,False,True,True,7,9,10,11,8,8,6.999035120010376
42,63.347438588148705,1332966100.7597346,0.9861326208463068,1310997051.4080815,0.9907017669907489,1377067629.149181,0.9961927040525043,1441573730.0952067,0.9823423364978726,1363226938.1191003,0.9963749701059421,1401507293.4995444,0.990644005411035,True,True,False,True,False,True,7,8,11,6,9,8,6.963263750076294
43,46.812531426369134,1406461255.5465446,0.9916624053430803,1305875992.9759555,0.9914327105643161,1318472828.539857,0.9890424788862072,1650499091.4418209,0.9910579558467167,1567384322.1995795,0.9835667272706873,1943693591.2231693,0.9867052716523905,True,True,True,False,True,False,8,7,8,19,6,8,6.966355800628662
44,65.19636296919737,1497245020.4406352,0.9945919146796164,1378322578.7205768,0.9985793930515984,1302919156.804682,0.9935047813396635,1337533700.504395,0.9808522956872826,2276761374.541021,0.993400492599211,1360247257.5227685,0.99128773625497,True,True,True,True,False,False,8,12,8,6,395,15,6.984186410903931
45,6.488290521383393,1359437551.980868,0.9917075790973041,1316038190.2366397,0.995617646552226,1628772381.262547,0.9943122873885867,1308768610.0239084,0.9875353001385295,1310047712.4154654,0.9877131741420732,1375010736.4675894,0.9859702403877543,True,True,False,True,True,True,8,8,9,8,7,10,6.991175174713135
46,12.024818904652859,1646944389.4787889,0.9988165449232259,2074683643.5635018,0.988767744113514,1430334498.8288414,0.9906120908972044,1494358346.1027431,0.9905204332405239,1313595122.5598278,0.9857356795151199,1357804678.593513,0.9796262504768081,False,True,True,True,True,True,10,11,7,10,9,6,7.010132312774658
47,29.99737201490293,1802441359.0187857,0.9642076752102271,1302228135.7302759,0.9902880914578535,1415646640.8842342,0.9873609835641226,1356664942.9384413,0.9901225238828694,1322386580.5017486,0.9827077820601406,2054801711.9603014,0.9812522679122089,False,True,True,True,True,False,10,7,7,7,6,6,6.940899610519409
48,12.34740976861295,1541355089.7182055,0.9864387739926748,2133799503.5847776,0.9920078526929456,1420067909.7530918,0.9954779699580144,1711559604.2303045,0.9912480941578092,1312802205.7858422,0.9959224968420773,1831796403.3245475,0.9996180997156112,True,False,True,True,True,False,7,9,8,7,8,27,7.022027254104614
49,17.81331785030053,1964208290.467808,0.9894431835207261,1324914932.6549726,0.9866326970669708,1594575979.91286,0.9904225019458788,1408338430.0081358,0.9853746857467851,1496673311.205629,0.9956088776379487,1783029132.145282,0.9796894336515105,False,True,False,True,True,True,7,7,7,7,9,6,6.941178560256958
50,7.172814400311,1419423739.5504289,0.9930481354133719,1359010370.9512243,0.9910451617950081,1312927626.6888225,0.9921355586399312,1493109808.7686608,0.9919244556820691,1322260807.1181083,0.9910251672664291,1342030802.5409508,0.9915058553214469,True,True,True,False,True,False,8,9,7,11,7,9,6.996836423873901
51,11.10282441236728,1323762252.288819,0.9988034305056129,1319047108.6725354,0.9883602781713021,1351375179.336713,0.9883248661700549,1478019774.8076901,0.969180474708016,1405042047.289219,0.9913199749054977,1433745235.0786657,0.9909827175856798,False,True,True,False,True,True,10,7,7,19,8,7,6.953854560852051
52,13.17709698662631,1383239624.9280345,0.9887000089878492,1558772147.8671882,0.989249808754587,1311512621.9844143,0.9889271095700845,1305795905.498316,0.9887148555938722,1860521186.622994,0.9994822373527151,1390948526.3789337,0.9828930218187164,True,True,True,True,False,True,7,10,8,8,90,9,6.970824480056763
53,4.71270993751968,1541698099.8222318,0.9914675810762,2619895387.706328,0.9869620954531919,1333999674.732921,0.9805911395238835,2098005069.1477401,0.9835659746031179,1320935049.5822973,0.9907974114858353,1671888886.4435048,0.9921390075625718,True,False,True,True,True,False,7,7,7,6,7,8,6.952086687088013
54,2.9975129846490027,1567374322.0408933,0.995577535798786,1309758276.3003762,0.9816232063630443,1310298633.39274,0.9781077683620508,1705664086.9319131,0.9956826988717264,1311279849.6284895,0.9957554040820892,1310269387.5728471,0.9953995199855977,False,True,True,False,True,True,10,8,6,11,10,8,6.945589303970337
55,69.25266601167709,1678963621.9702516,0.9874682694222804,1413325407.1604345,0.9884588442166659,2328107809.6480527,0.979946253840981,1366142414.3932397,0.9836903520770884,1343656744.3584733,0.9960479868399622,1645939738.3974764,0.9989786164570048,True,False,False,True,True,False,7,19,18,9,8,23,6.988419055938721
56,4.282067481669191,1454903964.4061198,0.987227958456833,1509497739.2707214,0.9772237538956444,1313233112.2080383,0.9763731852644978,1466917597.0009074,0.9971381420309271,1973977663.989683,0.966028525651169,1588083431.4412365,0.9953041456214141,True,True,True,True,False,False,7,6,7,9,16,21,6.988314151763916
57,89.97418950091392,1425564794.554406,0.984766492819218,1332428653.6222603,0.9778581554349545,1301030105.116919,0.9705686528713318,1301549349.371641,0.992164339454403,1818002818.9398572,0.9992816508685056,1604114893.4410667,0.9947725930116361,False,True,True,True,False,True,54,6,6,7,10,9,7.001424312591553
58,11.924714332672034,2140071914.6124065,0.9802080451032917,1516745972.7741463,0.9813919846886114,1305197396.0658522,0.9697736227531071,1362164095.1058629,0.9895473302433399,1304022039.3198392,0.9927591115461217,1332048729.902735,0.9955331855118422,False,True,True,True,True,True,81,6,7,10,8,10,6.949477910995483
59,6.901989318464607,1501119549.4103,0.9782719829678995,1579581240.2438107,0.9837771347143061,1458028943.094118,0.9656406585320325,1318891066.7257614,0.9950529889578187,1305386778.754081,0.9935536639306577,1948225168.5530405,0.9915261237134334,True,False,True,True,True,False,7,35,5,9,8,38,6.998342990875244
